"","Survey_OTU","Domain","Phylum","Class","Order","Family","Survey_Family_Mean"
"10","OTU120","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",0.551144209903334
"79","OTU215","Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3",0.51415466561452
"133","OTU44","Bacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria",0.512921680804892
"105","OTU292","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales",0.480864075754587
"54","OTU177","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales",0.475932136516078
"30","OTU142","Bacteria","Proteobacteria","Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria",0.46236930361018
"95","OTU250","Bacteria","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia",0.451272440323535
"29","OTU14","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Arenimicrobiaceae",0.431544683369501
"89","OTU229","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","uncl_Burkholderiales",0.422913789702111
"151","OTU620","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes",0.415515880844348
"123","OTU39","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae",0.405652002367331
"148","OTU588","Bacteria","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia",0.380992306174788
"104","OTU290","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",0.340303807457092
"83","OTU221","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","uncl_Pirellulales",0.331672913789702
"110","OTU316","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae",0.315644111264549
"145","OTU545","Bacteria","Proteobacteria","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.305780232787532
"52","OTU173","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",0.281120536594989
"113","OTU325","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi",0.270023673308345
"39","OTU1554","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",0.267557703689091
"129","OTU420","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I",0.266324718879463
"51","OTU170","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",0.265091734069836
"82","OTU219","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales",0.265091734069836
"41","OTU158","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",0.263858749260209
"143","OTU528","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",0.262625764450582
"117","OTU353","Bacteria","Acidobacteria","Blastocatellia","uncl_Blastocatellia","uncl_Blastocatellia",0.258926810021701
"85","OTU226","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncl_Gaiellales",0.239199053067666
"124","OTU390","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria",0.239199053067666
"139","OTU490","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae",0.239199053067666
"101","OTU274","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",0.234267113829158
"6","OTU111","Bacteria","Bacteroidetes","Cytophagia","uncl_Cytophagia","uncl_Cytophagia",0.218238311304005
"112","OTU321","Bacteria","Chloroflexi","Caldilineae","Caldilineales","uncl_Caldilineales",0.214539356875123
"25","OTU137","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",0.209607417636615
"147","OTU575","Bacteria","Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes",0.202209508778852
"118","OTU354","Bacteria","Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes",0.200976523969225
"180","OTU862","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",0.187413691063326
"103","OTU283","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",0.18124876701519
"115","OTU348","Bacteria","Firmicutes","Bacilli","uncl_Bacilli","uncl_Bacilli",0.18124876701519
"136","OTU477","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","uncl_Nitrosomonadales",0.160288025251529
"137","OTU482","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","uncl_Planctomycetales",0.131929374630105
"100","OTU273","Bacteria","Bacteroidetes","Sphingobacteriia","uncl_Sphingobacteriia","uncl_Sphingobacteriia",0.130696389820477
"106","OTU295","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae",0.130696389820477
"81","OTU217","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncl_Acidimicrobiales",0.128230420201223
"114","OTU329","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1",0.128230420201223
"121","OTU383","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_IV",0.128230420201223
"99","OTU271","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae",0.10357072400868
"188","OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1",0.0998717695797988
"84","OTU2225","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae",0.0900078911027816
"160","OTU687","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","uncl_Sphingomonadales",0.0887749062931545
"108","OTU303","Bacteria","Actinobacteria","Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia",0.0875419214835273
