"","Exp_OTU","Domain","Phylum","Class","Order","Family","Exp_Family_Mean"
"144","OTU662","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",0.0630391506303915
"107","OTU359","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae",0.0613802256138023
"155","OTU749","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","uncl_Sphingobacteriales",0.0613802256138023
"175","OTU973","Bacteria","Acidobacteria","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2",0.059721300597213
"139","OTU613","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae",0.0564034505640345
"178","OTU993","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae",0.053085600530856
"27","OTU1398","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae",0.0497677504976775
"128","OTU501","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae",0.0497677504976775
"169","OTU872","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",0.0497677504976775
"179","OTU996","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae",0.0497677504976775
"2","OTU1047","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",0.0481088254810883
"30","OTU1420","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",0.0481088254810883
"19","OTU1277","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",0.046449900464499
"157","OTU758","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae",0.046449900464499
"167","OTU841","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","uncl_Cellvibrionales",0.046449900464499
"37","OTU1612","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1",0.0447909754479098
"118","OTU432","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","uncl_Armatimonadales",0.0447909754479098
"170","OTU891","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","uncl_Enterobacterales",0.0431320504313205
"133","OTU541","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","uncl_Chitinophagales",0.0381552753815528
"13","OTU1218","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae",0.0364963503649635
"141","OTU632","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae",0.0364963503649635
"117","OTU431","Bacteria","Acidobacteria","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",0.0348374253483743
"121","OTU472","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae",0.0348374253483743
"143","OTU659","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae",0.0348374253483743
"168","OTU871","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",0.0348374253483743
"93","OTU281","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae",0.033178500331785
"161","OTU801","Bacteria","Verrucomicrobia","Verrucomicrobiae","uncl_Verrucomicrobiae","uncl_Verrucomicrobiae",0.033178500331785
"15","OTU1220","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae",0.0315195753151958
"38","OTU1636","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae",0.0298606502986065
"26","OTU1395","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae",0.0282017252820173
