"","Survey_OTU","Domain","Phylum","Class","Order","Family","Genus","Survey_Genus_Mean"
"109","OTU1946","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus",0.00493193923850858
"134","OTU2168","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",0.00493193923850858
"140","OTU2231","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",0.00493193923850858
"233","OTU616","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",0.00493193923850858
"245","OTU677","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","uncl_Cytophagaceae",0.00493193923850858
"298","OTU983","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus",0.00493193923850858
"79","OTU1681","Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","uncl_Subdivision3",0.00369895442888144
"90","OTU1746","Bacteria","Bacteroidetes","Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia",0.00369895442888144
"103","OTU1866","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium",0.00369895442888144
"119","OTU2021","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","uncl_Carnobacteriaceae",0.00369895442888144
"121","OTU2060","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Finegoldia",0.00369895442888144
"122","OTU2061","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylotenera",0.00369895442888144
"255","OTU709","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muriicola",0.00369895442888144
"265","OTU765","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","uncl_Micrococcales","uncl_Micrococcales",0.00369895442888144
"289","OTU934","Bacteria","Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae",0.00369895442888144
"14","OTU1143","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Criblamydiaceae","Estrella",0.00246596961925429
"41","OTU1323","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales","uncl_Desulfovibrionales",0.00246596961925429
"107","OTU1893","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","uncl_Phyllobacteriaceae",0.00246596961925429
"108","OTU1917","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Microvirgula",0.00246596961925429
"113","OTU1984","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Subsaxibacter",0.00246596961925429
"115","OTU1989","Bacteria","Actinobacteria","Nitriliruptoria","uncl_Nitriliruptoria","uncl_Nitriliruptoria","uncl_Nitriliruptoria",0.00246596961925429
"123","OTU2074","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","uncl_Acidimicrobiaceae",0.00246596961925429
"159","OTU2518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","uncl_Devosiaceae",0.00246596961925429
"250","OTU698","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Pseudomethylobacillus",0.00246596961925429
"285","OTU916","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",0.00246596961925429
"286","OTU919","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Tundrisphaera",0.00246596961925429
"291","OTU937","Bacteria","Abditibacteriota","Abditibacteria","uncl_Abditibacteria","uncl_Abditibacteria","uncl_Abditibacteria",0.00246596961925429
"46","OTU1384","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter",0.00123298480962715
"52","OTU1428","Bacteria","Planctomycetes","Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae",0.00123298480962715
"58","OTU1488","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Eudoraea",0.00123298480962715
"63","OTU1532","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00123298480962715
"78","OTU1664","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","uncl_Nevskiaceae",0.00123298480962715
"92","OTU1764","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus",0.00123298480962715
"97","OTU1805","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","uncl_Methylocystaceae",0.00123298480962715
"106","OTU1888","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",0.00123298480962715
"112","OTU1967","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Marinagarivorans",0.00123298480962715
"132","OTU2154","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",0.00123298480962715
"147","OTU2289","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","uncl_Rubricoccaceae",0.00123298480962715
"150","OTU2331","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","uncl_Oceanospirillales","uncl_Oceanospirillales",0.00123298480962715
"151","OTU2341","Bacteria","Firmicutes","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia",0.00123298480962715
"153","OTU2384","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter",0.00123298480962715
"161","OTU2527","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncl_Sandaracinaceae",0.00123298480962715
"295","OTU952","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga",0.00123298480962715
