"","Domain","Phylum","Class","Order","Family","Genus"
"OTU1435","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes"
"OTU1796","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales"
"OTU1527","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria"
"OTU1574","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"OTU1898","Bacteria","Proteobacteria","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria"
"OTU2540","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU1154","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","uncl_Planctomycetales","uncl_Planctomycetales"
"OTU1864","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales","uncl_Cytophagales"
"OTU731","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria"
"OTU1173","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"OTU952","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"OTU1083","Bacteria","Proteobacteria","Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria"
"OTU2559","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia"
"OTU2502","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes"
"OTU2121","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales","uncl_Cytophagales"
"OTU1451","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","uncl_Hymenobacteraceae"
"OTU2241","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter"
"OTU2400","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","uncl_Xanthomonadaceae"
"OTU1869","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","uncl_Pirellulales","uncl_Pirellulales"
"OTU1120","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","uncl_Oxalobacteraceae"
"OTU1090","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi"
"OTU1879","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"OTU500","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3"
"OTU1658","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU2289","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","uncl_Rubricoccaceae"
"OTU2401","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Caldilinea"
"OTU1458","Bacteria","Chloroflexi","Anaerolineae","Aggregatilineales","Aggregatilineaceae","Aggregatilinea"
"OTU2357","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","uncl_Isosphaeraceae"
"OTU1534","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","uncl_Aurantimonadaceae"
"OTU1888","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"OTU2217","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis"
"OTU1730","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_IV","uncl_Family_IV"
"OTU140","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU642","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3"
"OTU936","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia"
"OTU1034","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU2523","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","Rubrivirga"
"OTU1233","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","uncl_Sphingobacteriaceae"
"OTU2145","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Limnoglobus"
"OTU2011","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","uncl_Legionellales","uncl_Legionellales"
"OTU2472","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","uncl_Legionellaceae"
"OTU1804","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU2550","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU1169","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","uncl_Rhodobacterales","uncl_Rhodobacterales"
"OTU1567","Bacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria"
"OTU2452","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"OTU71","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria"
"OTU1196","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU63","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","Gp7"
"OTU1014","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU486","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU1228","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","Spartobacteria_genera_incertae_sedis"
"OTU1007","Bacteria","Chloroflexi","Caldilineae","Caldilineales","uncl_Caldilineales","uncl_Caldilineales"
"OTU888","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","Spartobacteria_genera_incertae_sedis"
"OTU2311","Bacteria","Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes"
"OTU241","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis"
"OTU1793","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3"
"OTU2245","Bacteria","Acidobacteria","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","Gp2"
"OTU1176","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Caldilinea"
"OTU724","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia"
"OTU1856","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales"
"OTU2571","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"OTU965","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU873","Bacteria","Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes"
"OTU1761","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","uncl_Caldilineaceae"
"OTU1013","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6"
"OTU1800","Bacteria","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia"
"OTU1750","Bacteria","Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes"
"OTU117","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria"
"OTU544","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi"
"OTU1618","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia"
"OTU1348","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU1275","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi"
"OTU1009","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi"
"OTU292","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales","uncl_Cytophagales"
"OTU2478","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria"
"OTU1557","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria"
"OTU1988","Bacteria","Verrucomicrobia","Opitutae","uncl_Opitutae","uncl_Opitutae","uncl_Opitutae"
